,Unnamed: 0,id,TVShow,Episode,year,minutes,averageRating,numVotes
131928,646447,tt10457968,2016-2017 UEFA Champions League,\N,2017,90,7.7,6
56474,151060,tt0641998,"Marcus Welby, M.D.",S07E23 Vanity Case,1976,120,7.0,11
32661,83317,tt0573288,Estudio 1,\N,1973,112,8.3,173
67536,183832,tt0675272,Play for Today,S08E06 One Day at a Time,1977,73,8.3,8
31206,77419,tt0567235,The Dukes of Hazzard,S03E05 The Late J.D. Hogg,1980,50,7.8,162
130945,618065,tt1039293,The Land Before Time,S01E15 The Spooky Nighttime Adventure,2007,24,7.0,22
45818,120057,tt0610596,In the Heat of the Night,S03E05 Crackdown,1989,47,8.8,106
21191,47281,tt0536672,The Carol Burnett Show,S08E06 Silent Night/Salute to Alfred Hitchcock/Remembrance of Edna,1974,60,8.0,33
35637,90377,tt0580450,Flipper,S01E18 The Day of the Shark,1965,30,6.3,37
13370,28864,tt0517755,Bachelor Father,S01E09 Bentley and the Talent Contest,1958,30,7.2,17
6095,10603,tt0453469,Doctor Who Confidential,S01E00 A New Dimension,2005,30,7.1,67
96107,284042,tt0784746,Die Rosenheim-Cops,S05E19 Die Leiche im Moor,2006,44,5.8,8
143014,926636,tt11065286,Joe Pera Talks with You,S02E02 Joe Pera Takes You on a Hike,2019,11,8.4,116
137609,794744,tt1078150,Zoboomafoo,S01E11 Fierce Creatures,1999,26,7.1,14
79508,217401,tt0709292,Starhunter,S01E22 Resurrection,2001,48,6.9,19
61435,163464,tt0654523,My Favorite Martian,S03E18 Martin's Revoltin' Development,1966,30,7.6,31
66094,178917,tt0670280,Party of Five,S05E17 Fam-i-ly,1999,44,8.3,59
